Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Aydın,2023-02-27 19:57:32,00:00:04,Autoplayed: user action: None; ,3. Sezon (Kısa Video): After Life,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:04,00:00:04,TR (Turkey)
Aydın,2023-02-27 19:32:45,00:23:42,,Üçüzler: 1. Sezon: Molotof Kokteyli (Bölüm 2),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:23:47,00:23:47,TR (Turkey)
Aydın,2023-02-27 18:52:37,00:39:49,,Üçüzler: 1. Sezon: 33 x 3 (Bölüm 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:39:48,00:39:48,TR (Turkey)
Aydın,2023-02-27 18:52:20,00:00:05,Autoplayed: user action: None; ,1. Sezon (Fragman): Üçüzler,TRAILER,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:05,00:00:05,TR (Turkey)
Aydın,2023-02-27 18:50:16,00:01:57,,Üçüzler: 1. Sezon: 33 x 3 (Bölüm 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:01:57,Not latest view,TR (Turkey)
Aydın,2023-02-27 18:50:08,00:00:04,Autoplayed: user action: None; ,1. Sezon (Kısa Video): Üçüzler,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:04,00:00:04,TR (Turkey)
Aydın,2022-11-04 21:53:36,01:24:51,,Cehennem Azabı,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:24:51,01:24:51,TR (Turkey)
Aydın,2022-11-04 21:49:33,00:00:38,,Vatikanlı Kayıp Kız: Emanuela Orlandi: Mini Dizi: 1. Kısım (Bölüm 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:38,00:00:38,TR (Turkey)
Aydın,2022-11-04 20:43:34,00:02:10,,Andropoz: Mini Dizi: 2. Bölüm (Bölüm 2),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:02:16,00:02:16,TR (Turkey)
Aydın,2022-11-04 20:01:21,00:42:08,,Andropoz: Mini Dizi: 1. Bölüm (Bölüm 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:42:14,00:42:14,TR (Turkey)
Aydın,2022-06-21 21:45:52,01:32:59,,Tanrının Gazabı,,Xiaomi aquaman Streaming Stick,01:32:59,01:32:59,TR (Turkey)
Aydın,2022-06-21 20:46:22,00:00:04,Autoplayed: user action: None; ,Cennete Hoş Geldiniz: 1. Sezon: Karşı Kıyı (Bölüm 4),,Xiaomi aquaman Streaming Stick,00:00:09,00:00:09,TR (Turkey)
Aydın,2022-06-21 20:09:38,00:36:41,,Cennete Hoş Geldiniz: 1. Sezon: Veda Partisi (Bölüm 3),,Xiaomi aquaman Streaming Stick,00:36:46,00:36:46,TR (Turkey)
Aydın,2022-06-21 19:33:42,00:35:54,,Cennete Hoş Geldiniz: 1. Sezon: Değerlendirme (Bölüm 2),,Xiaomi aquaman Streaming Stick,00:35:59,00:35:59,TR (Turkey)
Aydın,2022-06-21 18:54:15,00:39:23,Autoplayed: user action: User_Interaction; ,Cennete Hoş Geldiniz: 1. Sezon: Hayatınızın Yolculuğu (Bölüm 1),,Xiaomi aquaman Streaming Stick,00:39:23,00:39:23,TR (Turkey)
Aydın,2022-02-21 20:24:47,00:34:42,,Kardeş Payı: Sezon 1: 2. Bölüm (Bölüm 2),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:34:47,00:34:47,TR (Turkey)
Aydın,2022-02-21 19:16:25,01:08:20,Autoplayed: user action: User_Interaction; ,Kardeş Payı: Sezon 1: 1. Bölüm (Bölüm 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,01:08:20,01:08:20,TR (Turkey)
Aydın,2022-02-21 19:15:26,00:00:38,Autoplayed: user action: User_Interaction; ,The Office: 1. Sezon: Pilot Bölüm (Bölüm 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:38,00:00:38,TR (Turkey)
Aydın,2022-01-01 22:48:37,00:51:04,,Sandy Wexler,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:51:04,00:51:04,TR (Turkey)
Aydın,2022-01-01 21:13:36,01:28:51,,Kötü Öğretmen,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:28:51,01:28:51,TR (Turkey)
Aydın,2022-01-01 21:06:21,00:05:40,,MILF,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:05:40,00:05:40,TR (Turkey)
Aydın,2022-01-01 19:25:10,01:36:20,,Büyükler,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:36:20,01:36:20,TR (Turkey)
Aydın,2022-01-01 19:19:11,00:04:08,Autoplayed: user action: User_Interaction; ,Red Notice,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:04:08,00:04:08,TR (Turkey)
Aydın,2022-01-01 17:32:23,00:14:21,Autoplayed: user action: User_Interaction; ,Cem Yılmaz: Diamond Elite Platinum Plus,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:33:23,01:33:23,TR (Turkey)
Aydın,2022-01-01 11:54:01,01:22:03,,Cem Yılmaz: Diamond Elite Platinum Plus,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:19:03,Not latest view,TR (Turkey)
Aydın,2021-12-31 20:48:54,00:00:32,Autoplayed: user action: User_Interaction; ,Cem Yılmaz: Diamond Elite Platinum Plus,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:32,Not latest view,TR (Turkey)
Aydın,2021-04-24 02:52:15,00:29:08,,After Life: 2. Sezon: 6. Bölüm (Bölüm 6),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:29:18,00:29:18,TR (Turkey)
Aydın,2021-04-24 02:25:34,00:26:39,,After Life: 2. Sezon: 5. Bölüm (Bölüm 5),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:26:49,00:26:49,TR (Turkey)
Aydın,2021-04-24 02:00:36,00:24:54,,After Life: 2. Sezon: 4. Bölüm (Bölüm 4),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:25:04,00:25:04,TR (Turkey)
Aydın,2021-04-24 01:31:23,00:29:11,,After Life: 2. Sezon: 3. Bölüm (Bölüm 3),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:29:21,00:29:21,TR (Turkey)
Aydın,2021-04-24 01:05:37,00:25:44,,After Life: 2. Sezon: 2. Bölüm (Bölüm 2),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:25:52,00:25:52,TR (Turkey)
Aydın,2021-04-24 00:33:26,00:25:31,Autoplayed: user action: User_Interaction; ,After Life: 2. Sezon: 1. Bölüm (Bölüm 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:25:41,00:25:41,TR (Turkey)
Aydın,2021-04-24 00:08:05,00:25:19,,After Life: 1. Sezon: 6. Bölüm (Bölüm 6),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:25:29,00:25:29,TR (Turkey)
Aydın,2021-04-23 23:38:37,00:29:27,,After Life: 1. Sezon: 5. Bölüm (Bölüm 5),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:29:37,00:29:37,TR (Turkey)
Aydın,2021-04-23 23:12:29,00:26:03,,After Life: 1. Sezon: 4. Bölüm (Bölüm 4),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:26:13,00:26:13,TR (Turkey)
Aydın,2021-04-23 22:46:23,00:26:05,,After Life: 1. Sezon: 3. Bölüm (Bölüm 3),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:26:15,00:26:15,TR (Turkey)
Aydın,2021-04-23 22:22:48,00:23:34,,After Life: 1. Sezon: 2. Bölüm (Bölüm 2),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:23:44,00:23:44,TR (Turkey)
Aydın,2021-04-23 21:55:41,00:27:04,,After Life: 1. Sezon: 1. Bölüm (Bölüm 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:27:04,00:27:04,TR (Turkey)
Aydın,2020-12-05 18:04:09,00:01:11,,Aman Reis Duymasin,,Apple iPhone 11 Pro,00:01:11,00:01:11,TR (Turkey)
Aydın,2020-06-24 00:15:07,01:38:20,,1922,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:38:20,01:38:20,TR (Turkey)
Aydın,2020-06-24 00:06:26,00:04:32,Autoplayed: user action: Unspecified; ,Beyaz Şeytan,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:04:32,00:04:32,TR (Turkey)
Aydın,2020-06-23 22:21:22,01:41:45,,Dünya,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:41:45,01:41:45,TR (Turkey)
Aydın,2020-06-23 22:18:17,00:00:01,Autoplayed: user action: None; ,Biz Böyleyiz,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:01,00:00:01,TR (Turkey)
Aydın,2020-05-28 21:49:02,01:47:43,,Shéhérazade,,Apple iPhone 11 Pro,01:47:43,01:47:43,TR (Turkey)
Aydın,2020-05-07 11:53:50,00:04:11,,Ahlaksız Teklif,,Apple iPhone 11 Pro,00:04:12,00:04:12,TR (Turkey)
Aydın,2020-05-02 14:56:33,00:50:53,,Kaset İşi,,Apple iPhone 11 Pro,00:50:54,00:50:54,TR (Turkey)
Aydın,2020-05-02 14:34:28,00:15:55,,The Valhalla Murders: 1. Sezon: Dönüş (Bölüm 2),,Apple iPhone 11 Pro,00:28:13,00:28:13,TR (Turkey)
Aydın,2020-05-02 13:02:17,00:26:33,,Private Life,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:26:33,00:26:33,TR (Turkey)
Aydın,2020-05-02 12:50:06,00:10:30,,Rich in Love,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:40:02,01:40:02,TR (Turkey)
Aydın,2020-05-02 01:09:50,01:31:23,,Rich in Love,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:31:23,Not latest view,TR (Turkey)
Aydın,2020-05-01 23:18:27,01:49:14,Autoplayed: user action: Unspecified; ,Tam Gaz,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:49:14,01:49:14,TR (Turkey)
Aydın,2020-05-01 21:04:33,02:05:06,,Yucatán,,Samsung CE 2019 Muse-M UHD TV Smart TV,02:05:06,02:05:06,TR (Turkey)
Aydın,2020-05-01 19:44:17,01:18:08,,Sergio,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:51:06,01:51:06,TR (Turkey)
Aydın,2020-05-01 19:02:33,00:34:52,,Sergio,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:34:52,Not latest view,TR (Turkey)
Aydın,2020-05-01 04:44:52,00:49:16,Autoplayed: user action: Unspecified; ,Kızıl Ejder,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:50:07,00:50:07,TR (Turkey)
Aydın,2020-05-01 04:43:37,00:00:49,Autoplayed: user action: Unspecified; ,Kayıp Kız,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:01:00,00:01:00,TR (Turkey)
Aydın,2020-05-01 04:31:33,00:03:05,Autoplayed: user action: Unspecified; ,Sıcak Yaz,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:57:55,00:57:55,TR (Turkey)
Aydın,2020-05-01 02:38:58,01:42:42,,Extraction,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:43:18,01:43:18,TR (Turkey)
Aydın,2020-05-01 00:31:38,01:59:31,Autoplayed: user action: Unspecified; ,Hırsızlar Şehri,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:58:43,01:58:43,TR (Turkey)
Aydın,2020-05-01 00:31:33,00:00:01,Autoplayed: user action: None; ,Zor Kazanç,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:01,00:00:01,TR (Turkey)
Aydın,2020-05-01 00:31:22,00:00:03,Autoplayed: user action: None; ,Boyun Eğmez,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:03,00:00:03,TR (Turkey)
Aydın,2020-04-30 21:21:02,02:09:09,Autoplayed: user action: Unspecified; ,Yedi,,Samsung CE 2019 Muse-M UHD TV Smart TV,02:02:12,02:02:12,TR (Turkey)
Aydın,2020-04-30 21:20:16,00:00:07,Autoplayed: user action: None; ,Esaretin Bedeli,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:07,00:00:07,TR (Turkey)
Aydın,2020-04-30 19:17:59,01:32:20,,Dangerous Lies,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:33:26,01:33:26,TR (Turkey)
Aydın,2020-04-30 19:16:15,00:01:36,,Dangerous Lies,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:01:36,Not latest view,TR (Turkey)
Aydın,2020-04-30 19:13:57,00:00:07,,Dangerous Lies,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:07,Not latest view,TR (Turkey)
Aydın,2020-04-30 00:05:54,00:51:09,,El Chapo: 1. Sezon: 9. Bölüm (Bölüm 9),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:53:59,00:53:59,TR (Turkey)
Aydın,2020-04-29 23:23:08,00:42:42,,El Chapo: 1. Sezon: 8. Bölüm (Bölüm 8),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:44:14,00:44:14,TR (Turkey)
Aydın,2020-04-29 22:44:06,00:38:57,Autoplayed: user action: Unspecified; ,El Chapo: 1. Sezon: 7. Bölüm (Bölüm 7),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:40:29,00:40:29,TR (Turkey)
Aydın,2020-04-29 21:55:32,00:40:17,,El Chapo: 1. Sezon: 6. Bölüm (Bölüm 6),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:41:48,00:41:48,TR (Turkey)
Aydın,2020-04-29 21:13:03,00:42:24,,El Chapo: 1. Sezon: 5. Bölüm (Bölüm 5),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:43:51,00:43:51,TR (Turkey)
Aydın,2020-04-29 20:30:13,00:40:12,Autoplayed: user action: Unspecified; ,El Chapo: 1. Sezon: 4. Bölüm (Bölüm 4),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:39:53,00:39:53,TR (Turkey)
Aydın,2020-04-29 19:27:59,00:48:03,,El Chapo: 1. Sezon: 3. Bölüm (Bölüm 3),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:48:48,00:48:48,TR (Turkey)
Aydın,2020-04-29 18:34:00,00:46:21,Autoplayed: user action: Unspecified; ,El Chapo: 1. Sezon: 2. Bölüm (Bölüm 2),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:46:31,00:46:31,TR (Turkey)
Aydın,2020-04-29 17:39:51,00:54:07,,El Chapo: 1. Sezon: 1. Bölüm (Bölüm 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:54:07,00:54:07,TR (Turkey)
Aydın,2020-04-29 09:17:27,01:13:26,,Gökyüzünün Sessizliği,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:39:21,01:39:21,TR (Turkey)
Aydın,2020-04-29 07:50:05,00:25:55,Autoplayed: user action: Unspecified; ,Gökyüzünün Sessizliği,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:25:55,Not latest view,TR (Turkey)
Aydın,2020-04-29 07:45:31,00:00:18,Autoplayed: user action: Unspecified; ,Amar,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:18,00:00:18,TR (Turkey)
Aydın,2020-04-29 00:24:31,01:59:42,Autoplayed: user action: None; ,Elizabeth,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:59:42,01:59:42,TR (Turkey)
Aydın,2020-04-28 22:46:16,01:29:21,Autoplayed: user action: Unspecified; ,Cebimdeki Yabancı,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:29:21,01:29:21,TR (Turkey)
Aydın,2020-04-28 22:45:35,00:00:09,Autoplayed: user action: None; ,İstanbul Kırmızısı,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:09,00:00:09,TR (Turkey)
Aydın,2020-04-28 20:58:00,01:45:53,,İstanbul Kırmızısı,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:45:53,Not latest view,TR (Turkey)
Aydın,2020-04-28 19:04:12,01:45:56,Autoplayed: user action: None; ,İstanbul Kırmızısı,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:45:56,Not latest view,TR (Turkey)
Aydın,2020-04-23 21:16:21,00:49:03,Autoplayed: user action: None; ,Anchorman 2: Efsane Devam Ediyor,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:49:03,00:49:03,TR (Turkey)
Aydın,2020-04-23 21:15:44,00:00:15,Autoplayed: user action: None; ,Kızıl Ekim,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:15,00:00:15,TR (Turkey)
Aydın,2020-04-23 21:14:06,00:00:16,Autoplayed: user action: None; ,Akıllı Ol,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:16,00:00:16,TR (Turkey)
Aydın,2020-04-23 21:13:01,00:00:08,Autoplayed: user action: None; ,Kör Nokta,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:08,00:00:08,TR (Turkey)
Aydın,2020-04-23 21:12:51,00:00:01,Autoplayed: user action: None; ,Dünya Savaşı Z,,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:01,00:00:01,TR (Turkey)
Aydın,2020-04-23 21:01:24,00:10:19,Autoplayed: user action: Unspecified; ,Bataklığın Sessizliği,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:27:33,01:27:33,TR (Turkey)
Aydın,2020-04-23 18:41:52,01:17:16,,Bataklığın Sessizliği,,Samsung CE 2019 Muse-M UHD TV Smart TV,01:17:16,Not latest view,TR (Turkey)
Aydın,2020-04-23 17:18:19,00:04:22,,Sıcak Yaz,,Apple iPhone 11 Pro,01:13:30,Not latest view,TR (Turkey)
Aydın,2020-04-23 17:14:05,00:02:03,,Sıcak Yaz,,Apple iPhone 11 Pro,00:57:38,Not latest view,TR (Turkey)
Aydın,2020-04-23 17:06:42,00:06:42,,Seçilmişler,,Apple iPhone 11 Pro,00:44:20,00:44:20,TR (Turkey)
Aydın,2020-04-23 15:17:07,01:10:21,,Rising High,,Apple iPhone 11 Pro,01:31:53,01:31:53,TR (Turkey)
Aydın,2020-04-23 13:55:22,00:18:50,,Rising High,,Apple iPhone 11 Pro,00:21:32,Not latest view,TR (Turkey)
Aydın,2020-04-23 12:04:09,00:02:40,,Rising High,,Apple iPhone 11 Pro,00:02:41,Not latest view,TR (Turkey)
Aydın,2020-04-22 01:11:48,00:41:18,,Seksi Kızlar Aranıyor,,Apple iPhone 11 Pro,01:04:32,01:04:32,TR (Turkey)
Aydın,2020-04-19 17:42:27,00:09:13,,Seksi Kızlar Aranıyor,,Apple iPhone 11 Pro,00:23:04,Not latest view,TR (Turkey)
